feature,population_mean,juror_qwen2.5_14b,delta_qwen2.5_14b,juror_phi4,delta_phi4
Review_age,0.1209736764430999,0.1719298213720321,0.0509561449289321,0.1013645231723785,-0.0196091532707214
Review_education,0.5666500329971313,0.4000000059604645,-0.1666500270366668,0.6111111044883728,0.0444610714912414
Review_income,0.4138000011444092,0.3800000250339508,-0.0337999761104583,0.4444444477558136,0.0306444466114044
Review_political,0.6021449565887451,0.6000000238418579,-0.0021449327468872,0.652222216129303,0.0500772595405578
Review_religious,0.2857949733734131,0.3599999845027923,0.0742050111293792,0.3100000023841858,0.0242050290107727
country=AUS,0.022,0.0,-0.022,0.0,-0.022
country=BRA,0.0975,0.0,-0.0975,0.0,-0.0975
country=CAN,0.031,0.2,0.169,0.0,-0.031
country=DEU,0.063,0.0,-0.063,0.2222222222222222,0.1592222222222222
country=ESP,0.021,0.0,-0.021,0.0,-0.021
country=FRA,0.087,0.0,-0.087,0.0,-0.087
country=GBR,0.052,0.2,0.148,0.0,-0.052
country=HUN,0.017,0.0,-0.017,0.0,-0.017
country=ITA,0.028,0.0,-0.028,0.0,-0.028
country=JPN,0.0445,0.0,-0.0445,0.0,-0.0445
country=RUS,0.0475,0.0,-0.0475,0.0,-0.0475
country=USA,0.2085,0.2,-0.0084999999999999,0.3333333333333333,0.1248333333333333
gender=apache helicopter,0.0,0.0,0.0,0.0,0.0
gender=default,0.0855,0.0,-0.0855,0.2222222222222222,0.1367222222222222
gender=female,0.2285,0.4,0.1715,0.1111111111111111,-0.1173888888888889
gender=male,0.662,0.4,-0.262,0.5555555555555556,-0.1064444444444444
gender=others,0.024,0.2,0.176,0.1111111111111111,0.0871111111111111
