llm,jury_size,feature,juror_mean,population_mean,delta
phi4,9,Review_religious,0.3100000023841858,0.2857949733734131,0.024205029010772705
phi4,9,Review_age,0.10136452317237854,0.12097367644309998,-0.019609153270721436
phi4,9,Review_income,0.4444444477558136,0.4138000011444092,0.03064444661140442
phi4,9,Review_education,0.6111111044883728,0.5666500329971313,0.044461071491241455
phi4,9,Review_political,0.652222216129303,0.6021449565887451,0.05007725954055786
phi4,9,gender=apache helicopter,0.0,0.0,0.0
phi4,9,gender=default,0.2222222222222222,0.0855,0.1367222222222222
phi4,9,gender=female,0.1111111111111111,0.2285,-0.1173888888888889
phi4,9,gender=male,0.5555555555555556,0.662,-0.10644444444444445
phi4,9,gender=others,0.1111111111111111,0.024,0.08711111111111111
phi4,9,country=USA,0.3333333333333333,0.2085,0.12483333333333332
phi4,9,country=BRA,0.0,0.0975,-0.0975
phi4,9,country=FRA,0.0,0.087,-0.087
phi4,9,country=DEU,0.2222222222222222,0.063,0.1592222222222222
phi4,9,country=GBR,0.0,0.052,-0.052
phi4,9,country=RUS,0.0,0.0475,-0.0475
phi4,9,country=JPN,0.0,0.0445,-0.0445
phi4,9,country=CAN,0.0,0.031,-0.031
phi4,9,country=ITA,0.0,0.028,-0.028
phi4,9,country=AUS,0.0,0.022,-0.022
phi4,9,country=ESP,0.0,0.021,-0.021
phi4,9,country=HUN,0.0,0.017,-0.017
