jury_size,in_sample,held_out,gap,n_sel_scenarios,n_held_scenarios
1,0.8924285714285715,0.8936666666666667,-0.0012380952380952603,7000,3000
3,0.9005714285714286,0.9013333333333333,-0.0007619047619047414,7000,3000
5,0.9014285714285715,0.902,-0.0005714285714285561,7000,3000
7,0.9005714285714286,0.8993333333333333,0.0012380952380952603,7000,3000
9,0.9011428571428571,0.9023333333333333,-0.0011904761904761862,7000,3000
11,0.8854285714285715,0.8886666666666667,-0.003238095238095262,7000,3000
15,0.8882857142857142,0.884,0.004285714285714226,7000,3000
21,0.8451428571428572,0.8376666666666667,0.007476190476190525,7000,3000
31,0.7297142857142858,0.72,0.009714285714285786,7000,3000
51,0.6498571428571429,0.6443333333333333,0.0055238095238095974,7000,3000
