jury_size,in_sample,held_out,gap,n_sel_scenarios,n_held_scenarios
1,0.6848571428571428,0.6806666666666666,0.004190476190476189,7000,3000
3,0.7065714285714285,0.7103333333333334,-0.003761904761904855,7000,3000
5,0.7135714285714285,0.7176666666666667,-0.004095238095238152,7000,3000
7,0.6911428571428572,0.704,-0.01285714285714279,7000,3000
9,0.6637142857142857,0.6686666666666666,-0.00495238095238093,7000,3000
11,0.6015714285714285,0.596,0.0055714285714285605,7000,3000
15,0.6444285714285715,0.6413333333333333,0.003095238095238151,7000,3000
21,0.5768571428571428,0.572,0.004857142857142893,7000,3000
31,0.5181428571428571,0.5053333333333333,0.012809523809523826,7000,3000
51,0.47614285714285715,0.46366666666666667,0.012476190476190474,7000,3000
